N,P,K,temperature,humidity,ph,rainfall,elevation,slope,aspect,water_holding_capacity,wind_speed,solar_radiation,ec,zn,soil_texture,label
73.22,18.64,95.07,17.6983408,61.448860999999994,5.56,987.45,1747.41,13.75,229.26,0.79,3.85,16.54,0.46,2.85,Sandy Clay,Irish Potatoes
78.56,12.36,67.32,18.400100799999997,76.037661,6.8,1053.21,1606.53,9.25,269.91,0.7,4.08,18.65,0.5,2.67,Sandy Loam,Irish Potatoes
102.69,17.61,36.22,21.609080799999997,66.75896100000001,6.42,1173.47,1492.04,17.9,340.13,0.67,3.64,15.4,0.43,1.16,Sandy,Coffee
119.32,14.02,28.51,19.8707408,70.066361,6.4,1090.95,1841.21,13.57,213.34,0.63,3.86,18.81,0.23,1.62,Clay Loam,Coffee
48.31,67.24,93.56,23.7380408,61.880761,5.83,835.83,1462.56,10.97,238.02,0.64,3.02,16.87,0.25,2.36,Clay Loam,Cassava
60.07,68.44,20.57,22.0848208,80.233211,5.58,948.32,1484.17,6.64,144.56,0.84,3.92,13.01,0.28,2.63,Sandy Clay,Sweet Potatoes
93.13,76.27,77.86,21.6097608,74.844461,5.91,1116.57,1576.7,2.89,334.68,0.78,4.29,18.22,0.6,1.32,Sandy Loam,Bananas
90.83,35.83,53.64,17.4754808,76.056911,5.54,1067.06,1593.84,6.08,78.63,0.7,3.27,15.4,0.24,2.21,Sandy,Irish Potatoes
89.47,37.3,21.54,22.7442808,71.994061,5.78,850.49,1574.44,13.68,4.63,0.59,3.49,18.14,0.24,2.2,Clay Loam,Sorghum
91.39,50.17,54.99,25.4720208,71.59741100000001,6.43,987.16,1300.57,12.38,182.98,0.55,3.87,15.55,0.48,1.85,Clay Loam,Sorghum
76.54,27.97,84.83,21.959760799999998,76.054311,5.55,964.54,1336.7,7.64,44.65,0.72,3.25,16.05,0.51,2.04,Loam,Beans
119.97,55.37,87.93,22.4917408,72.99136100000001,6.78,1053.95,1430.71,11.61,65.96,0.79,4.49,13.42,0.35,1.62,Loam,Maize
82.34,65.05,95.17,21.0750808,76.665611,6.72,1068.8,1854.04,12.38,356.47,0.59,2.99,16.36,0.51,2.24,Sandy,Beans
114.31,13.4,27.1,22.2502808,75.626561,6.9,972.99,1741.44,3.95,23.35,0.78,3.1,14.42,0.34,1.2,Clay Loam,Maize
70.1,23.39,48.87,22.552100799999998,74.687461,5.59,943.17,1455.53,4.27,45.35,0.6,2.73,14.95,0.31,1.22,Clay Loam,Sweet Potatoes
104.96,37.47,68.18,18.7756208,79.415711,5.83,1216.82,1843.77,7.03,97.17,0.77,4.33,16.26,0.47,2.97,Clay Loam,Coffee
84.02,18.0,62.98,21.213320799999998,67.419911,5.5,971.66,1334.92,6.39,266.16,0.64,3.92,14.07,0.41,1.16,Sandy,Soybeans
80.8,56.68,78.35,20.5993608,63.046761000000004,5.64,1021.03,1771.9,6.13,315.88,0.75,4.41,14.15,0.43,1.58,Sandy Loam,Beans
95.62,21.64,43.38,20.676480799999997,65.81611099999999,5.53,1166.9,1933.34,13.8,30.42,0.71,3.45,13.74,0.36,1.54,Sandy,Bananas
115.76,26.51,78.6,21.7420008,79.497861,6.95,977.25,1480.58,14.9,269.02,0.76,3.79,14.69,0.52,2.61,Sandy Clay,Maize
96.94,46.1,22.32,24.385700800000002,69.605961,5.51,990.87,1518.73,13.65,173.99,0.62,2.6,17.26,0.55,2.41,Clay Loam,Sorghum
122.49,24.88,20.31,23.3354008,74.505461,5.73,1102.77,1948.88,6.31,4.62,0.63,3.06,18.65,0.56,2.59,Sandy Loam,Maize
89.55,71.5,22.82,16.904220799999997,68.28021100000001,5.88,945.72,1799.47,7.12,135.46,0.81,2.58,15.87,0.27,1.11,Sandy,Irish Potatoes
